"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00128036","2018-08-20","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  328",",,7","  211",",,7",,,,,"  239",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-21","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0","T,,7,0730","    0",",,7,0730","    0",",,7,0730","  317",",,7","  217",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-22","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","   13",",,7,0730","    0",",,7,0730","    0",",,7,0730","  306",",,7","  178",",,7",,,,,"  178",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-23","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  306",",,7","  111",",,7",,,,,"  117",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-24","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  300",",,7","  117",",,7",,,,,"  128",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-25","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","   15",",,7,0730","    0",",,7,0730","    0",",,7,0730","  239",",,7","  128",",,7",,,,,"  239",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-26","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0","T,,7,0730","    0",",,7,0730","    0",",,7,0730","  333",",,7","  239",",,7",,,,,"  256",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-27","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  339",",,7","  239",",,7",,,,,"  250",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-28","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  250",",,7",,,,,"  250",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-29","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  233",",,7",,,,,"  244",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-30","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  317",",,7","  211",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-08-31","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  300",",,7","  189",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-01","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    8",",,7,0730","    0",",,7,0730","    0",",,7,0730","  339",",,7","  194",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-02","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0","T,,7,0730","    0",",,7,0730","    0",",,7,0730","  344",",,7","  206",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-03","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  211",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-04","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  211",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-05","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  206",",,7",,,,,"  228",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-06","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  211",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-07","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0","T,,7,0730","    0",",,7,0730","    0",",,7,0730","  322",",,7","  217",",,7",,,,,"  228",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-08","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","  279",",,7,0730","    0",",,7,0730","    0",",,7,0730","  306",",,7","  217",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-09","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","  704",",,7,0730","    0",",,7,0730","    0",",,7,0730","  217",",,7","  167",",,7",,,,,"  172",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-10","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","   25",",,7,0730","    0",",,7,0730","    0",",,7,0730","  189",",,7","  156",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-11","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  228",",,7","  117",",,7",,,,,"  139",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-12","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  250",",,7","  133",",,7",,,,,"  150",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-13","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  256",",,7","  150",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-14","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  300",",,7","  156",",,7",,,,,"  178",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-15","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  311",",,7","  178",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-16","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  322",",,7","  194",",,7",,,,,"  233",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-17","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  300",",,7","  200",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-18","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  317",",,7","  194",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-19","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  189",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-20","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  344",",,7","  194",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-21","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  217",",,7",,,,,"  250",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-22","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  339",",,7","  167",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-23","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","   53",",,7,0730","    0",",,7,0730","    0",",,7,0730","  172",",,7","  144",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00128036","2018-09-24","38.5529","-86.7944","145.4","SHOALS 8 S, IN US","    0","T,,7,0730","    0",",,7,0730","    0",",,7,0730","  233",",,7","  167",",,7",,,,,"  200",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
