"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV07","WV07_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00024157","2018-08-06","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  328",",,W","  161",",,W",,,,,"   28",",,W",,,,,,,,,,,,,,,,,,,,,"  248","H,,S",,,,,"  300",",,W","  290",",,W",,,,,,,,,,,"   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-07","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  339",",,W","  167",",,W",,,,,"   33",",,W",,,,,,,,,,,,,,,,,,,,,"  257","H,,S",,,,,"  270",",,W","  280",",,W",,,,,,,,,,,"   94",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-08","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  367",",,W","  178",",,W",,,,,"   17",",,W",,,,,,,,,,,,,,,,,,,,,"  267","H,,S",,,,,"   70",",,W","   30",",,W",,,,,,,,,,,"   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-09","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  394",",,W","  200",",,W",,,,,"   25",",,W",,,,,,,,,,,,,,,,,,,,,"  286","H,,S",,,,,"   70",",,W","   70",",,W",,,,,,,,,,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-10","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  389",",,W","  228",",,W",,,,,"   40",",,W",,,,,,,,,,,,,,,,,,,,,"  311","H,,S",,,,,"  250",",,W","  220",",,W",,,,,,,,,,,"   89",",,W","  107",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-11","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  306",",,W","  167",",,W",,,,,"   59",",,W",,,,,,,,,,,,,,,,,,,,,"  281","H,,S",,,,,"  230",",,W","  270",",,W",,,,,,,,,,,"  125",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-12","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  250",",,W","  122",",,W",,,,,"   37",",,W",,,,,,,,,,,,,,,,,,,,,"  199","H,,S",,,,,"  220",",,W","  210",",,W",,,,,,,,,,,"   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-13","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  278",",,W","  133",",,W",,,,,"   24",",,W",,,,,,,,,,,,,,,,,,,,,"  199","H,,S",,,,,"   30",",,W","  310",",,W",,,,,,,,,,,"   45",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-14","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  306",",,W","  139",",,W",,,,,"   17",",,W",,,,,,,,,,,,,,,,,,,,,"  212","H,,S",,,,,"  220",",,W","  220",",,W",,,,,,,,,,,"   58",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-08-15","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  322",",,W","  156",",,W",,,,,"   17",",,W",,,,,,,,,,,,,,,,,,,,,"  238","H,,S",,,,,"  270",",,W","  270",",,W",,,,,,,,,,,"   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
