"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00014848","2018-08-08","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    5",",,W,2400","    0",",,W","    0",",,W","  261",",,W","  178",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  220","H,,S",,,,,,,"  310",",,W","  330",",,W",,,,,,,"   63",",,W","   81",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-09","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   23",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  167",",,W",,,,,"   33",",,W",,,,,,,,,,,,,"  222","H,,S",,,,,,,"  310",",,W","  310",",,W",,,,,,,"   94",",,W","  125",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-10","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   25",",,W,2400","    0",",,W","    0",",,W","  283",",,W","  194",",,W",,,,,"   22",",,W",,,,,,,,,,,,,"  228","H,,S",,,,,,,"  250",",,W","  250",",,W",,,,,,,"   67",",,W","   98",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-11","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  172",",,W",,,,,"   15",",,W",,,,,,,,,,,,,"  232","H,,S",,,,,,,"  330",",,W","  330",",,W",,,,,,,"   58",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-12","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  167",",,W",,,,,"   20",",,W",,,,,,,,,,,,,"  229","H,,S",,,,,,,"   10",",,W","  360",",,W",,,,,,,"   58",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-13","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  172",",,W",,,,,"   14",",,W",,,,,,,,,,,,,"  232","H,,S",,,,,,,"  340",",,W","  310",",,W",,,,,,,"   54",",,W","   72",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-14","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  172",",,W",,,,,"   18",",,W",,,,,,,,,,,,,"  227","H,,S",,,,,,,"  230",",,W","  250",",,W",,,,,,,"   58",",,W","   85",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-15","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  189",",,W",,,,,"   34",",,W",,,,,,,,,,,,,"  232","H,,S",,,,,,,"  170",",,W","  170",",,W",,,,,,,"   76",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-16","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0","T,,W,2400","    0",",,W","    0",",,W","  272",",,W","  206",",,W",,,,,"   13",",,W",,,,,,,,,,,,,"  225","H,,S",,,,,,,"  130",",,W","  180",",,W",,,,,,,"   40",",,W","   58",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-17","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   79",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  194",",,W",,,,,"   21",",,W",,,,,,,,,,,,,"  224","H,,S",,,,,,,"  360",",,W","  350",",,W",,,,,,,"   63",",,W","   72",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-18","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0","T,,W,2400","    0",",,W","    0",",,W","  272",",,W","  172",",,W",,,,,"   21",",,W",,,,,,,,,,,,,"  221","H,,S",,,,,,,"  340",",,W","  300",",,W",,,,,,,"   58",",,W","   72",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-19","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0","T,,W,2400","    0",",,W","    0",",,W","  283",",,W","  167",",,W",,,,,"   17",",,W",,,,,,,,,,,,,"  221","H,,S",,,,,,,"  120",",,W","  130",",,W",,,,,,,"   54",",,W","   72",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-20","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   13",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  183",",,W",,,,,"   51",",,W",,,,,,,,,,,,,"  221","H,,S",,,,,,,"  110",",,W","  110",",,W",,,,,,,"   94",",,W","  125",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-21","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","  160",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  183",",,W",,,,,"   44",",,W",,,,,,,,,,,,,"  213","H,,S",,,,,,,"  350",",,W","  320",",,W",,,,,,,"  103",",,W","  139",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
