"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USW00094895","2018-08-23","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  261",",,W","  111",",,W","    9",",,W",,,,,,,,,,,,,,,,,,,"  270",",,W","  250",",,W","   36",",,W","   40",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-24","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  256",",,W","  133",",,W","   37",",,W",,,,,,,,,,,,,,,,,,,"  190",",,W","  180",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-25","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   86",",,W",,,,,"  256",",,W","  211",",,W","   48",",,W",,,,,,,,,,,,,,,,,,,"  180",",,W","  180",",,W","   89",",,W","  134",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-26","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  328",",,W","  233",",,W","   36",",,W",,,,,,,,,,,,,,,,,,,"  210",",,W","  220",",,W","   58",",,W","   89",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-27","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  322",",,W","  239",",,W","   45",",,W",,,,,,,,,,,,,,,,,,,"  210",",,W","  190",",,W","   76",",,W","  112",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-28","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  322",",,W","  244",",,W","   43",",,W",,,,,,,,,,,,,,,,,,,"  220",",,W","  220",",,W","   76",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-29","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0","T,,W",,,,,"  306",",,W","  217",",,W","   38",",,W",,,,,,,,,,,,,,,,,,,"  310",",,W","  320",",,W","   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-30","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  261",",,W","  172",",,W","   22",",,W",,,,,,,,,,,,,,,,,,,"   10",",,W","   20",",,W","   45",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-31","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  306",",,W","  150",",,W","   17",",,W",,,,,,,,,,,,,,,,,,,"  180",",,W","  190",",,W","   58",",,W","   81",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-01","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0","T,,W",,,,,"  306",",,W","  217",",,W","   39",",,W",,,,,,,,,,,,,,,,,,,"  190",",,W","  180",",,W","   72",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-02","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  322",",,W","  233",",,W","   34",",,W",,,,,,,,,,,,,,,,,,,"  200",",,W","  190",",,W","   63",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-03","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  339",",,W","  239",",,W","   30",",,W",,,,,,,,,,,,,,,,,,,"  240",",,W","  180",",,W","   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-04","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0","T,,W",,,,,"  339",",,W","  206",",,W","   20",",,W",,,,,,,,,,,,,,,,,,,"  190",",,W","  190",",,W","   58",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-05","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   20",",,W",,,,,"  339",",,W","  228",",,W","   29",",,W",,,,,,,,,,,,,,,,,,,"  260",",,W","  210",",,W","   67",",,W","   89",",,W",,,,,"    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-09-06","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  114",",,W",,,,,"  300",",,W","  206",",,W","   24",",,W",,,,,,,,,,,,,,,,,,,"   10",",,W","   10",",,W","   67",",,W","   85",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-09-07","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  777",",,W",,,,,"  228",",,W","  178",",,W","   38",",,W",,,,,,,,,,,,,,,,,,,"   70",",,W","   80",",,W","   76",",,W","  107",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094895","2018-09-08","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  376",",,W",,,,,"  194",",,W","  161",",,W","   56",",,W",,,,,,,,,,,,,,,,,,,"   70",",,W","   80",",,W","  107",",,W","  148",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-09","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  160",",,W",,,,,"  161",",,W","  144",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,"   30",",,W","   40",",,W","   98",",,W","  121",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-10","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    3",",,W",,,,,"  194",",,W","  139",",,W","   27",",,W",,,,,,,,,,,,,,,,,,,"  310",",,W","  330",",,W","   58",",,W","   72",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-09-11","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  250",",,W","  117",",,W","   13",",,W",,,,,,,,,,,,,,,,,,,"   50",",,W","   60",",,W","   63",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094895","2018-09-12","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  228",",,W","  128",",,W","   14",",,W",,,,,,,,,,,,,,,,,,,"   80",",,W","   70",",,W","   45",",,W","   58",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-13","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  294",",,W","  156",",,W","   11",",,W",,,,,,,,,,,,,,,,,,,"  100",",,W","   90",",,W","   40",",,W","   54",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00094895","2018-09-14","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  306",",,W","  161",",,W","   16",",,W",,,,,,,,,,,,,,,,,,,"   20",",,W","   30",",,W","   54",",,W","   94",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094895","2018-09-15","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  300",",,W","  161",",,W","   26",",,W",,,,,,,,,,,,,,,,,,,"   60",",,W","   50",",,W","   58",",,W","   89",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
