"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00053006","2018-07-24","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  300",",,7","  161",",,7","  183",",,7,2400",,,"    1",",,7","    1",",,7",,,,,,,,,,
"USC00053006","2018-07-25","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   28",",,7,2400","    0",",,7,2400","    0",",,7","  283",",,7","  144",",,7","  167",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-26","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   33",",,7,2400","    0",",,7,2400","    0",",,7","  272",",,7","  133",",,7","  161",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-27","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  250",",,7","  161",",,7","  167",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-28","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   33",",,7,2400","    0",",,7,2400","    0",",,7","  233",",,7","  150",",,7","  156",",,7,2400",,,"    1",",,7","    1",",,7",,,,,,,,,,
"USC00053006","2018-07-29","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   28",",,7,2400","    0",",,7,2400","    0",",,7","  244",",,7","  128",",,7","  150",",,7,2400",,,"    1",",,7","    1",",,7",,,,,,,,,,
"USC00053006","2018-07-30","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  267",",,7","  122",",,7","  133",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-31","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  300",",,7","  100",",,7","  156",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-01","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","  117",",,7","  144",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-02","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  328",",,7","  117",",,7","  211",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-03","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    3",",,7,2400","    0",",,7,2400","    0",",,7","  261",",,7","  167",",,7","  167",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-04","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   30",",,7,2400","    0",",,7,2400","    0",",,7","  350",",,7","  128",",,7","  167",",,7,2400",,,,,"    1",",,7",,,"    1",",,7",,,,,,
"USC00053006","2018-08-05","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   15",",,7,2400","    0",",,7,2400","    0",",,7","  283",",,7","  167",",,7","  178",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-08-06","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  283",",,7","  144",",,7","  161",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-08-07","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","  122",",,7","  167",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-08","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","  139",",,7","  161",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-09","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","  122",",,7","  172",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-10","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","  128",",,7","  189",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-11","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  322",",,7","  128",",,7","  172",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-12","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","  111",",,7","  156",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-13","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  306",",,7","  111",",,7","  183",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-14","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    8",",,7,2400","    0",",,7,2400","    0",",,7","  278",",,7","  144",",,7","  156",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
