"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094732","2018-09-11","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  250",",,W","  183",",,W","   22",",,W",,," 1644",",,W",,,,,"   20",",,W","   60",",,W","   36",",,W","   54",",,W",,,,,,,,
"USW00094732","2018-09-12","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  147",",,W,",,,"  294",",,W","  233",",,W","   19",",,W",,," 1459",",,W",,,,,"   20",",,W","   60",",,W","   40",",,W","   49",",,W",,,,,,,,
"USW00094732","2018-09-13","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  261",",,W","  217",",,W","   40",",,W",,," 2246",",,W",,,,,"   80",",,W","   70",",,W","   67",",,W","   85",",,W",,,,,,,,
"USW00094732","2018-09-14","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  244",",,W","  211",",,W","   45",",,W",,," 1143",",,W",,,,,"   70",",,W","   70",",,W","   72",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-09-15","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  272",",,W","  194",",,W","   23",",,W",,," 1022",",,W",,,,,"   60",",,W","   50",",,W","   58",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-09-16","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  306",",,W","  178",",,W","   14",",,W",,," 1122",",,W",,,,,"  130",",,W","  140",",,W","   54",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-09-17","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   69",",,W,",,,"  278",",,W","  178",",,W","   24",",,W",,," 1314",",,W",,,,,"  140",",,W","  180",",,W","   67",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-09-18","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  378",",,W,",,,"  300",",,W","  211",",,W","   31",",,W",,," 0945",",,W",,,,,"   20",",,W","  220",",,W","   72",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-09-19","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  300",",,W","  194",",,W","   30",",,W",,," 0837",",,W",,,,,"   10",",,W","  360",",,W","   67",",,W","   81",",,W",,,,,,,,
"USW00094732","2018-09-20","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  233",",,W","  200",",,W","   31",",,W",,," 1802",",,W",,,,,"  130",",,W","  140",",,W","   63",",,W","   76",",,W",,,,,,,,
"USW00094732","2018-09-21","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  261",",,W","  194",",,W","   25",",,W",,," 2359",",,W",,,,,"  220",",,W","  210",",,W","   72",",,W","  107",",,W",,,,,,,,
"USW00094732","2018-09-22","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  250",",,W","  172",",,W","   38",",,W",,," 0029",",,W",,,,,"  350",",,W","  220",",,W","   94",",,W","  121",",,W",,,,,,,,
"USW00094732","2018-09-23","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  130",",,W,",,,"  189",",,W","  156",",,W","   26",",,W",,," 0956",",,W",,,,,"  330",",,W","  340",",,W","   67",",,W","  116",",,W",,,,,,,,
"USW00094732","2018-09-24","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   10",",,W,",,,"  211",",,W","  172",",,W","   54",",,W",,," 1426",",,W",,,,,"  100",",,W","   70",",,W","   98",",,W","  125",",,W",,,,,,,,
"USW00094732","2018-09-25","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  437",",,W,",,,"  272",",,W","  172",",,W","   30",",,W",,," 0009",",,W",,,,,"   80",",,W","   80",",,W","   76",",,W","  103",",,W",,,,,,,,
