"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00059058","2017-06-09","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  128",",,7",,,,,"  156",",,7,0700","    1",",,7","    1",",,7",,,,,,,,
"USC00059058","2017-06-10","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  328",",,7","  117",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-11","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  344",",,7","  111",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-12","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  161",",,7",,,,,"  183",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-06-13","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","   78",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-14","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  100",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-15","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  128",",,7",,,,,"  189",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-16","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  133",",,7",,,,,"  194",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-17","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  350",",,7","  139",",,7",,,,,"  222",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-18","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  144",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-19","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","   94",",,7",,,,,"  211",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-20","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  117",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-21","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  372",",,7","  150",",,7",,,,,"  217",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-22","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  378",",,7","  139",",,7",,,,,"  222",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-23","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  367",",,7","  122",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,
