"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00193624","2018-09-01","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  250",",,7","  128",",,7",,,,,"  194",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-02","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  311",",,7","  133",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-03","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  361",",,7","  211",",,7",,,,,"  289",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-04","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  311",",,7","  233",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-05","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  339",",,7","  200",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-06","42.2269","-70.9125","10.7","HINGHAM, MA US","  122",",,7,1900","    0",",,7,1900","    0",",,7,1900","  361",",,7","  228",",,7",,,,,"  233",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-09-07","42.2269","-70.9125","10.7","HINGHAM, MA US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  233",",,7","  183",",,7",,,,,"  183",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-08","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  200",",,7","  167",",,7",,,,,"  167",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-09","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  172",",,7","  139",",,7",,,,,"  144",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-10","42.2269","-70.9125","10.7","HINGHAM, MA US","   30",",,7,1900","    0",",,7,1900","    0",",,7,1900","  189",",,7","  139",",,7",,,,,"  167",",,7,1900",,,,,,,,,,,,,,
