"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00291153","2018-09-12","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  167",",,7",,,,,"   84",",,7,",,,,,,,,,"  172",",,7,0730",,
"USC00291153","2018-09-13","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  317",",,7","  172",",,7",,,,,"   86",",,7,",,,,,,,,,"  183",",,7,0730",,
"USC00291153","2018-09-14","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  328",",,7","  172",",,7",,,,,"   91",",,7,",,,,,,,,,"  172",",,7,0730",,
"USC00291153","2018-09-15","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  172",",,7",,,,,"   76",",,7,",,,,,,,,,"  183",",,7,0730",,
"USC00291153","2018-09-16","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  306",",,7","  167",",,7",,,,,"   71",",,7,",,,,,,,,,"  178",",,7,0730",,
"USC00291153","2018-09-17","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  283",",,7","  167",",,7",,,,,"   64",",,7,",,,,,,,,,"  167",",,7,0730",,
"USC00291153","2018-09-18","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  167",",,7",,,,,"   74",",,7,",,,,,,,,,"  206",",,7,0730",,
"USC00291153","2018-09-19","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  317",",,7","  194",",,7",,,,,"   66",",,7,",,,,,,,,,"  194",",,7,0730",,
"USC00291153","2018-09-20","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  328",",,7","  189",",,7",,,,,"   99",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-09-21","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   64",",,7,0730","    0",",,7","    0",",,7","  250",",,7","  172",",,7",,,,,"   23",",,7,",,,,,,,,,"  178",",,7,0730",,
"USC00291153","2018-09-22","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   64",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  150",",,7",,,,,"   51",",,7,",,,,,,,,,"  150",",,7,0730",,
"USC00291153","2018-09-23","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  267",",,7","  117",",,7",,,,,"   58",",,7,",,,,,,,,,"  144",",,7,0730",,
"USC00291153","2018-09-24","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  111",",,7",,,,,"   64",",,7,",,,,,,,,,"  117",",,7,0730",,
"USC00291153","2018-09-25","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  117",",,7",,,,,"   69",",,7,",,,,,,,,,"  133",",,7,0730",,
"USC00291153","2018-09-26","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  133",",,7",,,,,"   94",",,7,",,,,,,,,,"  150",",,7,0730",,
"USC00291153","2018-09-27","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   18",",,7,0730","    0",",,7","    0",",,7","  150",",,7","  122",",,7",,,,,"   10",",,7,",,,,,,,,,"  133",",,7,0730",,
"USC00291153","2018-09-28","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  133",",,7",,,,,"   41",",,7,",,,,,,,,,"  133",",,7,0730",,
"USC00291153","2018-09-29","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  333",",,7","  133",",,7",,,,,"   61",",,7,",,,,,,,,,"  144",",,7,0730",,
"USC00291153","2018-09-30","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  283",",,7","  144",",,7",,,,,"   91",",,7,",,,,,,,,,"  167",",,7,0730",,
"USC00291153","2018-10-01","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  167",",,7",,,,,"   81",",,7,",,,,,,,,,"  183",",,7,0730",,
"USC00291153","2018-10-02","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  306",",,7","  178",",,7",,,,,"   66",",,7,",,,,,,,,,"  194",",,7,0730",,
"USC00291153","2018-10-03","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  194",",,7",,,,,"   66",",,7,",,,,,,,,,"  200",",,7,0730",,
