"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00200230","2018-08-13","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0","T,,7,1800","    0",",,7,","    0",",,7,","  294",",,7","  139",",,7",,,,,,,,,"  278",",,7,1800",,,,,,,"  194",",,7",,,"  228",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-14","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  306",",,7","  150",",,7",,,,,,,,,"  283",",,7,1800",,,,,,,"  206",",,7",,,"  228",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-15","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  172",",,7",,,,,,,,,"  272",",,7,1800",,,,,,,"  206",",,7",,,"  233",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-16","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   23",",,7,1800","    0",",,7,","    0",",,7,","  272",",,7","  194",",,7",,,,,,,,,"  233",",,7,1800",,,,,,,"  217",",,7",,,"  233",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-17","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   13",",,7,1800","    0",",,7,","    0",",,7,","  267",",,7","  211",",,7",,,,,,,,,"  244",",,7,1800",,,,,,,"  211",",,7",,,"  217",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-18","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0","T,,7,1800","    0",",,7,","    0",",,7,","  289",",,7","  189",",,7",,,,,,,,,"  267",",,7,1800",,,,,,,"  211",",,7",,,"  228",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-08-19","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0","T,,7,1800","    0",",,7,","    0",",,7,","  278",",,7","  183",",,7",,,,,,,,,"  250",",,7,1800",,,,,,,"  211",",,7",,,"  228",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-20","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  278",",,7","  144",",,7",,,,,,,,,"  233",",,7,1800",,,,,,,"  206",",,7",,,"  228",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-21","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","  155",",,7,1800","    0",",,7,","    0",",,7,","  272",",,7","  206",",,7",,,,,,,,,"  233",",,7,1800",,,,,,,"  211",",,7",,,"  222",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-08-22","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  233",",,7","  150",",,7",,,,,,,,,"  217",",,7,1800",,,,,,,"  194",",,7",,,"  222",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-08-23","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   20",",,7,1800","    0",",,7,","    0",",,7,","  272",",,7","  111",",,7",,,,,,,,,"  244",",,7,1800",,,,,,,"  183",",,7",,,"  211",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-08-24","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  244",",,7","   94",",,7",,,,,,,,,"  217",",,7,1800",,,,,,,"  172",",,7",,,"  206",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-25","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   33",",,7,1800","    0",",,7,","    0",",,7,","  239",",,7","  189",",,7",,,,,,,,,"  228",",,7,1800",,,"  139",",,7",,,"  189",",,7",,,"  194",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-08-26","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    3",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  178",",,7",,,,,,,,,"  289",",,7,1800",,,,,,,"  194",",,7",,,"  217",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-27","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  317",",,7","  206",",,7",,,,,,,,,"  294",",,7,1800",,,"  148",",,7",,,"  211",",,7",,,"  228",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-28","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0","T,,7,1800","    0",",,7,","    0",",,7,","  322",",,7","  228",",,7",,,,,,,,,"  294",",,7,1800",,,"  165",",,7",,,"  217",",,7",,,"  228",",,7",,,,,,,,,,,,,,,"    1",",,7",,
"USC00200230","2018-08-29","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  294",",,7","  211",",,7",,,,,,,,,"  256",",,7,1800",,,,,,,"  217",",,7",,,"  228",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-08-30","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  256",",,7","  128",",,7",,,,,,,,,"  222",",,7,1800",,,,,,,"  189",",,7",,,"  222",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-08-31","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  278",",,7","  111",",,7",,,,,,,,,"  244",",,7,1800",,,,,,,"  167",",,7",,,"  206",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-09-01","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   99",",,7,1800","    0",",,7,","    0",",,7,","  294",",,7","  144",",,7",,,,,,,,,"  250",",,7,1800",,,,,,,"  183",",,7",,,"  206",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-09-02","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   18",",,7,1800","    0",",,7,","    0",",,7,","  317",",,7","  211",",,7",,,,,,,,,"  294",",,7,1800",,,,,,,"  200",",,7",,,"  217",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-09-03","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   71",",,7,1800","    0",",,7,","    0",",,7,","  306",",,7","  206",",,7",,,,,,,,,"  228",",,7,1800",,,"  148",",,7",,,"  211",",,7",,,"  217",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
