"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00013878","2018-08-15","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    0","T,,W,2400","    0",",,W","    0",",,W","  322",",,W","  250",",,W","   34",",,W",,,,,,,,,,,"  170",",,W","  180",",,W","   63",",,W","   94",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-16","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  244",",,W","   27",",,W",,,,,,,,,,,"  220",",,W","  140",",,W","   63",",,W","   81",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-17","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  244",",,W","   26",",,W",,,,,,,,,,,"  140",",,W","  180",",,W","   72",",,W","  107",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-18","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    0","T,,W,2400","    0",",,W","    0",",,W","  333",",,W","  250",",,W","   30",",,W",,,,,,,,,,,"  220",",,W","  230",",,W","   89",",,W","  107",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-19","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    3",",,W,2400","    0",",,W","    0",",,W","  339",",,W","  256",",,W","   32",",,W",,,,,,,,,,,"  140",",,W","  210",",,W","   67",",,W","   89",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-20","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    0",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  244",",,W","   33",",,W",,,,,,,,,,,"  150",",,W","  180",",,W","   76",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-21","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","   41",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  250",",,W","   33",",,W",,,,,,,,,,,"  240",",,W","  240",",,W","   76",",,W","  103",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-22","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    5",",,W,2400","    0",",,W","    0",",,W","  333",",,W","  256",",,W","   40",",,W",,,,,,,,,,,"  230",",,W","  160",",,W","   72",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-23","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  239",",,W","   35",",,W",,,,,,,,,,,"   60",",,W","   70",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013878","2018-08-24","31.1522","-81.3908","4.9","BRUNSWICK MCKINNON AIRPORT, GA US","   33",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  267",",,W","   63",",,W",,,,,,,,,,,"   60",",,W","   40",",,W","   94",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
