"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00226894","2018-07-14","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  344",",,H","  233",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-15","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   64",",,H,0800",,,,,,,"  222",",,H",,,,,"  244",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-16","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","  363",",,H,0800",,,,,"  328",",,H","  222",",,H",,,,,"  233",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-17","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US",,,,,,,"  322",",,H","  228",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-18","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   25",",,H,0800",,,,,"  339",",,H","  222",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-19","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  300",",,H","  239",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-20","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  350",",,H","  233",",,H",,,,,"  233",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-21","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  339",",,H","  222",",,H",,,,,"  244",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-22","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  211",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-23","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  306",",,H","  206",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
