"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00015652","2018-08-29","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"  150",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-30","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-31","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  345",",,a"
"ASN00015652","2018-09-01","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    3",",,a",,,,,"  231",",,a",,
"ASN00015652","2018-09-02","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    5",",,a",,,,,"  305",",,a"
"ASN00015652","2018-09-03","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    5",",,a",,,,,"  185",",,a",,
"ASN00015652","2018-09-04","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  300",",,a"
"ASN00015652","2018-09-05","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  326",",,a",,,,,"    2",",,a",,,,,"  160",",,a",,
"ASN00015652","2018-09-06","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  275",",,a","   75",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-07","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  265",",,a","  125",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-08","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"  120",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-09","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-09-10","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  310",",,a"
"ASN00015652","2018-09-11","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  335",",,a",,,,,"    3",",,a",,,,,"  155",",,a",,
"ASN00015652","2018-09-12","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  268",",,a","  155",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-13","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  335",",,a","  129",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-14","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  341",",,a","  110",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-15","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  236",",,a","  105",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-16","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  240",",,a","   99",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-17","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  335",",,a","  100",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-18","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"  130",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-20","-24.2914","131.5488","614.0","WATARRKA, AS",,,,,,,,,,,"    3",",,a",,,,,"  295",",,a"
"ASN00015652","2018-09-21","-24.2914","131.5488","614.0","WATARRKA, AS",,,,,,,"    3",",,a","    3",",,a",,,"   30",",,a","   86",",,a",,
"ASN00015652","2018-09-22","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-09-23","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  299",",,a"
"ASN00015652","2018-09-24","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  310",",,a",,,,,"    3",",,a",,,,,"   65",",,a",,
"ASN00015652","2018-09-25","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  317",",,a","  155",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-26","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  330",",,a","  190",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-27","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  345",",,a","  165",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-28","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  361",",,a","  215",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-29","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  320",",,a","  165",",,a",,,,,,,,,,,,
"ASN00015652","2018-09-30","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"  170",",,a",,,,,,,,,,,,
"ASN00015652","2018-10-01","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  330",",,a"
"ASN00015652","2018-10-02","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  355",",,a",,,,,"    2",",,a",,,,,"  205",",,a",,
"ASN00015652","2018-10-03","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  310",",,a","  215",",,a",,,,,,,,,,,,
"ASN00015652","2018-10-04","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  305",",,a","  210",",,a",,,,,,,,,,,,
"ASN00015652","2018-10-05","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  350",",,a","    0",",,a",,,,,,,,,,,,
"ASN00015652","2018-10-06","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"  210",",,a",,,,,,,,,,,,
"ASN00015652","2018-10-08","-24.2914","131.5488","614.0","WATARRKA, AS",,,,,,,,,,,"    3",",,a",,,,,"  388",",,a"
"ASN00015652","2018-10-09","-24.2914","131.5488","614.0","WATARRKA, AS",,,,,,,"    3",",,a","    3",",,a",,,"   21",",,a","  175",",,a",,
"ASN00015652","2018-10-11","-24.2914","131.5488","614.0","WATARRKA, AS",,,,,,,,,,,"    3",",,a",,,,,"  360",",,a"
"ASN00015652","2018-10-12","-24.2914","131.5488","614.0","WATARRKA, AS",,,,,,,"    3",",,a","    3",",,a",,,"   70",",,a","  160",",,a",,
"ASN00015652","2018-10-13","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  358",",,a"
"ASN00015652","2018-10-14","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"  191",",,a",,
"ASN00015652","2018-10-15","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
