"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00091306","2018-11-03","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  172",",,a",,,,,,,,,,,,,,,"  106","H,,S"
"ASN00091306","2018-11-04","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  171",",,a","   65",",,a",,,,,,,,,,,,,"  123","H,,S"
"ASN00091306","2018-11-05","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  156",",,a","   94",",,a",,,,,,,,,,,,,"  134","H,,S"
"ASN00091306","2018-11-06","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   14",",,a","  187",",,a","  114",",,a",,,,,,,,,,,,,"  112","H,,S"
"ASN00091306","2018-11-07","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  167",",,a","   54",",,a",,,,,,,,,,,,,"   78","H,,S"
"ASN00091306","2018-11-08","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  180",",,a","  -17",",,a",,,,,,,,,,,,,"  106","H,,S"
"ASN00091306","2018-11-09","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  160",",,a","   19",",,a",,,,,,,,,,,,,"  114","H,,S"
"ASN00091306","2018-11-10","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   10",",,a","  199",",,a","   62",",,a",,,,,,,,,,,,,"  112","H,,S"
"ASN00091306","2018-11-11","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  224",",,a","   14",",,a",,,,,,,,,,,,,"  133","H,,S"
"ASN00091306","2018-11-12","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  199",",,a","   50",",,a",,,,,,,,,,,,,"  159","H,,S"
"ASN00091306","2018-11-13","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  267",",,a","   94",",,a",,,,,,,,,,,,,"  186","H,,S"
"ASN00091306","2018-11-14","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  237",",,a","  111",",,a",,,,,,,,,,,,,"  143","H,,S"
"ASN00091306","2018-11-15","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  210",",,a","   67",",,a",,,,,,,,,,,,,"  127","H,,S"
"ASN00091306","2018-11-16","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   10",",,a","  158",",,a","   79",",,a",,,,,,,,,,,,,"  122","H,,S"
"ASN00091306","2018-11-17","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   42",",,a","  226",",,a","   17",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-11-18","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  231",",,a","   36",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-11-19","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  232",",,a","   69",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-11-20","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  215",",,a","   89",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-11-21","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","  234",",,a","  231",",,a","  136",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-11-22","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  152",",,a","   96",",,a",,,,,,,,,,,,,,
"ASN00091306","2018-11-23","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   92",",,a","  183",",,a","  103",",,a",,,,,,,,,,,,,"  131","H,,S"
"ASN00091306","2018-11-24","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  209",",,a","  104",",,a",,,,,,,,,,,,,"  146","H,,S"
"ASN00091306","2018-11-25","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  165",",,a","  113",",,a",,,,,,,,,,,,,"  131","H,,S"
"ASN00091306","2018-11-26","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  215",",,a","  108",",,a",,,,,,,,,,,,,"  151","H,,S"
"ASN00091306","2018-11-27","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   56",",,a","  203",",,a","  120",",,a",,,,,,,,,,,,,"  142","H,,S"
"ASN00091306","2018-11-28","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   24",",,a","  223",",,a","  112",",,a",,,,,,,,,,,,,"  148","H,,S"
"ASN00091306","2018-11-29","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   50",",,a","  204",",,a","  116",",,a",,,,,,,,,,,,,"  150","H,,S"
