"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00201896","2018-06-07","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0","T,,7,0630","    0",",,7,0630","    0",",,7,0630","  172",",,7","   67",",,7",,,,,,,,,"  111",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-08","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  194",",,7","   78",",,7",,,,,,,,,"   89",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-09","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  233",",,7","   89",",,7",,,,,,,,,"  167",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-10","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  250",",,7","  111",",,7",,,,,,,,,"  150",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-11","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  233",",,7","   89",",,7",,,,,,,,,"  111",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-12","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  250",",,7","  111",",,7",,,,,,,,,"  144",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-13","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  155",",,7,0630","    0",",,7,0630","    0",",,7,0630","  239",",,7","  144",",,7",,,,,,,,,"  156",",,7,0630",,,,,"    1",",,7",,,,,,,,
"USC00201896","2018-06-14","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    8",",,7,0630","    0",",,7,0630","    0",",,7,0630","  200",",,7","  106",",,7",,,,,,,,,"  117",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-15","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  222",",,7","  111",",,7",,,,,,,,,"  122",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-16","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  222",",,7","  122",",,7",,,,,,,,,"  172",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-17","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  261",",,7","  172",",,7",,,,,,,,,"  256",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-18","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  244",",,7,0630","    0",",,7,0630","    0",",,7,0630","  272",",,7","  172",",,7",,,,,,,,,"  183",",,7,0630",,,,,"    1",",,7",,,,,,,,
"USC00201896","2018-06-19","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   23",",,7,0630","    0",",,7,0630","    0",",,7,0630","  211",",,7","  122",",,7",,,,,,,,,"  144",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-20","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  222",",,7","  111",",,7",,,,,,,,,"  139",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-21","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  228",",,7","  133",",,7",,,,,,,,,"  139",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-22","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  211",",,7","   94",",,7",,,,,,,,,"  122",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-23","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  228",",,7","  122",",,7",,,,,,,,,"  133",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-24","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   64",",,7,0630","    0",",,7,0630","    0",",,7,0630","  194",",,7","  133",",,7",,,,,,,,,"  144",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-25","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  183",",,7","  106",",,7",,,,,,,,,"  144",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-26","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  217",",,7","   78",",,7",,,,,,,,,"  111",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-27","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  244",",,7","  100",",,7",,,,,,,,,"  139",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-28","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  239",",,7","  139",",,7",,,,,,,,,"  183",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-29","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  256",",,7","  161",",,7",,,,,,,,,"  206",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-30","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  300",",,7","  206",",,7",,,,,,,,,"  283",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-01","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  294",",,7","  222",",,7",,,,,,,,,"  244",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-02","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   25",",,7,0630","    0",",,7,0630","    0",",,7,0630","  322",",,7","  172",",,7",,,,,,,,,"  178",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-03","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  250",",,7","  172",",,7",,,,,,,,,"  228",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-04","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  300",",,7","  183",",,7",,,,,,,,,"  206",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-05","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  306",",,7","  200",",,7",,,,,,,,,"  233",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-06","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  261",",,7","  144",",,7",,,,,,,,,"  161",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-07","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  217",",,7","  133",",,7",,,,,,,,,"  156",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-08","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  239",",,7","  150",",,7",,,,,,,,,"  206",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-09","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  261",",,7","  206",",,7",,,,,,,,,"  261",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-10","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  261",",,7","  133",",,7",,,,,,,,,"  144",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-11","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US",,,"    0",",,7,0630","    0",",,7,0630",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201896","2018-07-12","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US",,,"    0",",,7,0630","    0",",,7,0630","  250",",,7","  128",",,7","    2",",,7",,,"    0",",,7",,,"  206",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-07-13","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  150",",,7,0630","    0",",,7,0630","    0",",,7,0630","  250",",,7","  194",",,7",,,,,,,,,"  217",",,7,0630",,,,,,,,,,,,,,
