"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"ASN00014703","2018-09-11","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  300",",,a","  199",",,a",,,,,,
"ASN00014703","2018-09-12","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  298",",,a","  213",",,a",,,,,,
"ASN00014703","2018-09-13","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  314",",,a","  215",",,a",,,,,,
"ASN00014703","2018-09-14","-15.7426","136.8192","12.2","CENTRE ISLAND, AS",,,"  312",",,a","  217",",,a",,,,,,
"ASN00014703","2018-09-15","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  339",",,a","  226",",,a",,,,,,
"ASN00014703","2018-09-16","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  322",",,a","  221",",,a",,,,,,
"ASN00014703","2018-09-17","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  305",",,a","  231",",,a",,,,,,
"ASN00014703","2018-09-18","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  327",",,a","  213",",,a",,,,,,
"ASN00014703","2018-09-19","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  297",",,a","  213",",,a",,,,,,
"ASN00014703","2018-09-20","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  302",",,a","  226",",,a",,,,,,
"ASN00014703","2018-09-21","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  306",",,a","  230",",,a",,,,,,
"ASN00014703","2018-09-22","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  308",",,a","  231",",,a",,,,,,
"ASN00014703","2018-09-23","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  314",",,a","  226",",,a",,,,,,
"ASN00014703","2018-09-24","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  324",",,a","  225",",,a",,,,,,
"ASN00014703","2018-09-25","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  320",",,a","  222",",,a",,,,,,
"ASN00014703","2018-09-26","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  311",",,a","  231",",,a",,,,,,
"ASN00014703","2018-09-27","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  308",",,a","  224",",,a",,,,,,
"ASN00014703","2018-09-28","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  306",",,a","  216",",,a",,,,,,
"ASN00014703","2018-09-29","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  308",",,a","  226",",,a",,,,,,
"ASN00014703","2018-09-30","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  311",",,a","  212",",,a",,,,,,
"ASN00014703","2018-10-01","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  313",",,a","  224",",,a",,,,,,
"ASN00014703","2018-10-02","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  308",",,a","  235",",,a",,,,,,
"ASN00014703","2018-10-03","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  315",",,a","  230",",,a",,,,,,
"ASN00014703","2018-10-04","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  319",",,a","  230",",,a",,,,,,
"ASN00014703","2018-10-05","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  338",",,a","  237",",,a",,,,,,
"ASN00014703","2018-10-06","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  340",",,a","  240",",,a",,,,,,
"ASN00014703","2018-10-07","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  333",",,a","  227",",,a",,,,,,
"ASN00014703","2018-10-08","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  331",",,a","  234",",,a",,,,,,
"ASN00014703","2018-10-09","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  335",",,a","  246",",,a",,,,,,
"ASN00014703","2018-10-10","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  345",",,a","  251",",,a",,,,,,
"ASN00014703","2018-10-11","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  352",",,a","  249",",,a",,,,,,
"ASN00014703","2018-10-12","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  324",",,a","  256",",,a",,,,,,
"ASN00014703","2018-10-13","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  351",",,a","  250",",,a",,,,,,
"ASN00014703","2018-10-14","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  342",",,a","  257",",,a",,,,,,
"ASN00014703","2018-10-15","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  343",",,a","  260",",,a",,,,,,
"ASN00014703","2018-10-16","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  342",",,a","  266",",,a",,,,,,
"ASN00014703","2018-10-17","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  334",",,a","  263",",,a",,,,,,
"ASN00014703","2018-10-18","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  345",",,a","  262",",,a",,,,,,
"ASN00014703","2018-10-19","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  347",",,a","  253",",,a",,,,,,
"ASN00014703","2018-10-20","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  348",",,a","  254",",,a",,,,,,
"ASN00014703","2018-10-21","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  352",",,a","  263",",,a",,,,,,
"ASN00014703","2018-10-22","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  373",",,a","  269",",,a",,,,,,
"ASN00014703","2018-10-23","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  362",",,a","  280",",,a",,,,,,
"ASN00014703","2018-10-24","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  356",",,a","  268",",,a",,,,,,
"ASN00014703","2018-10-25","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  348",",,a","  269",",,a",,,,,,
"ASN00014703","2018-10-26","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  342",",,a","  261",",,a",,,,,,
"ASN00014703","2018-10-27","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  353",",,a","  259",",,a",,,,,,
"ASN00014703","2018-10-28","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  342",",,a","  256",",,a",,,,,,
"ASN00014703","2018-10-29","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  361",",,a","  265",",,a",,,,,,
"ASN00014703","2018-10-30","-15.7426","136.8192","12.2","CENTRE ISLAND, AS",,,"  356",",,a",,,,,,,,
"ASN00014703","2018-10-31","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  350",",,a","  272",",,a",,,,,,
"ASN00014703","2018-11-01","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  353",",,a","  276",",,a",,,,,,
"ASN00014703","2018-11-02","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  347",",,a","  268",",,a",,,,,,
"ASN00014703","2018-11-03","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  341",",,a","  272",",,a",,,,,,
"ASN00014703","2018-11-04","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","   32",",,a","  341",",,a","  252",",,a",,,,,,
"ASN00014703","2018-11-05","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  360",",,a","  265",",,a",,,,,,
"ASN00014703","2018-11-06","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  359",",,a","  276",",,a",,,,,,
"ASN00014703","2018-11-07","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  363",",,a","  274",",,a",,,,,,
"ASN00014703","2018-11-08","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  337",",,a","  282",",,a",,,,,,
"ASN00014703","2018-11-09","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  368",",,a","  280",",,a",,,,,,
"ASN00014703","2018-11-10","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  367",",,a","  281",",,a",,,,,,
"ASN00014703","2018-11-11","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  365",",,a","  277",",,a",,,,,,
"ASN00014703","2018-11-12","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  360",",,a","  283",",,a",,,,,,
"ASN00014703","2018-11-13","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  358",",,a","  285",",,a",,,,,,
"ASN00014703","2018-11-14","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  353",",,a","  286",",,a",,,,,,
"ASN00014703","2018-11-15","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  346",",,a","  281",",,a",,,,,,
"ASN00014703","2018-11-16","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  344",",,a","  278",",,a",,,,,,
"ASN00014703","2018-11-17","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    2",",,a",,,"  268",",,a",,,,,,
"ASN00014703","2018-11-18","-15.7426","136.8192","12.2","CENTRE ISLAND, AS",,,"  342",",,a",,,,,,,,
"ASN00014703","2018-11-19","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  352",",,a","  269",",,a",,,,,,
"ASN00014703","2018-11-20","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  359",",,a","  282",",,a",,,,,,
"ASN00014703","2018-11-21","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  369",",,a","  283",",,a",,,,,,
"ASN00014703","2018-11-22","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  361",",,a","  287",",,a",,,,,,
"ASN00014703","2018-11-23","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  349",",,a","  287",",,a",,,,,,
"ASN00014703","2018-11-24","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  367",",,a","  281",",,a",,,,,,
"ASN00014703","2018-11-25","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  390",",,a","  289",",,a",,,,,,
"ASN00014703","2018-11-26","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  362",",,a","  298",",,a",,,,,,
"ASN00014703","2018-11-27","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  386",",,a","  300",",,a",,,,,,
"ASN00014703","2018-11-29","-15.7426","136.8192","12.2","CENTRE ISLAND, AS",,,"  358",",,a",,,,,,,,
"ASN00014703","2018-11-30","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  373",",,a","  281",",,a",,,,,,
"ASN00014703","2018-12-01","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  364",",,a","  281",",,a",,,,,,
"ASN00014703","2018-12-02","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  373",",,a","  288",",,a",,,,,,
