"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00023273","2018-08-06","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400",,,,,"  306",",,W","  122",",,W",,,,,"   33",",,W",,,,,,,"  192","H,,S",,,,,"  300",",,W","  300",",,W",,,,,,,"   98",",,W","  125",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-08-07","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  222",",,W","  117",",,W",,,,,"   27",",,W",,,,,,,"  186","H,,S",,,,,"  320",",,W","  320",",,W",,,,,,,"   72",",,W","   89",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-08-08","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  272",",,W","  100",",,W",,,,,"   18",",,W",,,,,,,"  166","H,,S",,,,,"  300",",,W",,,,,,,,,"   58",",,W",,,,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-08-09","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  283",",,W","  106",",,W",,,,,"   19",",,W",,,,,,,"  186","H,,S",,,,,"  300",",,W","  310",",,W",,,,,,,"   63",",,W","   89",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-08-10","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  306",",,W","  117",",,W",,,,,"   21",",,W",,,,,,,"  187","H,,S",,,,,"  310",",,W","  300",",,W",,,,,,,"   58",",,W","   72",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-08-11","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  272",",,W","  133",",,W",,,,,"   21",",,W",,,,,,,"  190","H,,S",,,,,"  320",",,W","  320",",,W",,,,,,,"   67",",,W","   76",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-08-12","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  261",",,W","  133",",,W",,,,,"   19",",,W",,,,,,,"  188","H,,S",,,,,"  300",",,W","  320",",,W",,,,,,,"   58",",,W","   98",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-08-13","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  250",",,W","  150",",,W",,,,,"   24",",,W",,,,,,,"  187","H,,S",,,,,"  320",",,W","  310",",,W",,,,,,,"   67",",,W","   89",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00023273","2018-08-14","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  228",",,W","  150",",,W",,,,,"   27",",,W",,,,,,,"  176","H,,S",,,,,"  310",",,W","   90",",,W",,,,,,,"   72",",,W","  125",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023273","2018-08-15","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  256",",,W","  156",",,W",,,,,"   30",",,W",,,,,,,"  189","H,,S",,,,,"  300",",,W","  310",",,W",,,,,,,"   72",",,W","   85",",,W",,,"    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
