"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00023031","2018-11-16","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,"  214",",,S","   95",",,S",,,,,,,"  166","H,,S"
"ASN00023031","2018-11-23","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  180",",,S",,,,,,,,,"  135","H,,S"
"ASN00023031","2018-11-24","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   41",",,S",,,"  205",",,S","   77",",,S",,,,,,,"  153","H,,S"
"ASN00023031","2018-11-25","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  214",",,S",,,,,,,,,"  164","H,,S"
"ASN00023031","2018-11-26","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  203",",,S","  116",",,S",,,,,,,"  166","H,,S"
"ASN00023031","2018-11-27","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   20",",,S",,,"  198",",,S","  136",",,S",,,,,,,"  159","H,,S"
"ASN00023031","2018-11-28","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  155","H,,S"
"ASN00023031","2018-11-29","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  202",",,S",,,,,,,,,"  157","H,,S"
"ASN00023031","2018-11-30","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   98",",,S",,,,,,,"  208","H,,S"
"ASN00023031","2018-12-01","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,"  327",",,S",,,,,,,,,"  207","H,,S"
"ASN00023031","2018-12-02","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  203",",,S","  140",",,S",,,,,,,"  170","H,,S"
