"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00425406","2018-09-25","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","    0",",,7"
"USC00425406","2018-09-26","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  -22",",,7"
"USC00425406","2018-09-27","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  -28",",,7"
"USC00425406","2018-09-28","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","   -6",",,7"
"USC00425406","2018-09-29","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","   33",",,7"
"USC00425406","2018-09-30","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","   50",",,7"
"USC00425406","2018-10-01","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  128",",,7"
"USC00425406","2018-10-02","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  100",",,7"
"USC00425406","2018-10-03","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","  106",",,7"
"USC00425406","2018-10-04","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","  140",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","   94",",,7"
"USC00425406","2018-10-05","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   64",",,7,0800","    0",",,7,0800","    0",",,7,0800","  178",",,7","   67",",,7"
"USC00425406","2018-10-06","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  139",",,7","    6",",,7"
"USC00425406","2018-10-07","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","  117",",,7,0800","    0",",,7,0800","    0",",,7,0800","   89",",,7","   44",",,7"
"USC00425406","2018-10-08","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","  163",",,7,0800","    0",",,7,0800","    0",",,7,0800","   78",",,7","   39",",,7"
"USC00425406","2018-10-09","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","   94",",,7","    6",",,7"
"USC00425406","2018-10-10","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   58",",,7,0800","    0",",,7,0800","    0",",,7,0800","  133",",,7","   28",",,7"
"USC00425406","2018-10-11","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  122",",,7","   11",",,7"
"USC00425406","2018-10-12","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","   94",",,7","    0",",,7"
"USC00425406","2018-10-13","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  139",",,7","  -33",",,7"
"USC00425406","2018-10-14","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  161",",,7","  -44",",,7"
"USC00425406","2018-10-15","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","   67",",,7","  -78",",,7"
"USC00425406","2018-10-16","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  100",",,7","  -72",",,7"
"USC00425406","2018-10-17","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  144",",,7","  -22",",,7"
"USC00425406","2018-10-18","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  122",",,7","  -44",",,7"
"USC00425406","2018-10-19","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  133",",,7","  -39",",,7"
"USC00425406","2018-10-20","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  172",",,7","  -28",",,7"
"USC00425406","2018-10-21","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  200",",,7","   11",",,7"
"USC00425406","2018-10-22","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  178",",,7","   -6",",,7"
"USC00425406","2018-10-23","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  144",",,7","  -17",",,7"
"USC00425406","2018-10-24","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  178",",,7","  -28",",,7"
"USC00425406","2018-10-25","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  178",",,7","   11",",,7"
"USC00425406","2018-10-26","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  139",",,7","  -39",",,7"
"USC00425406","2018-10-27","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  172",",,7","  -33",",,7"
"USC00425406","2018-10-28","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  -22",",,7"
"USC00425406","2018-10-29","39.27287","-111.65815","1675.8","MANTI RADIO KMTI, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  -11",",,7"
