"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00003868","2018-08-23","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  272",",,W","  117",",,W","    9",",,W",,,,,,,,,"  250",",,W","  240",",,W","   40",",,W","   54",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-24","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   23",",,W",,,,,"  211",",,W","  133",",,W","   30",",,W",,,,,,,,,"  200",",,W","  190",",,W","   89",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-25","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  297",",,W",,,,,"  306",",,W","  183",",,W","   50",",,W",,,,,,,,,"  180",",,W","  180",",,W","  103",",,W","  121",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-08-26","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  322",",,W","  239",",,W","   39",",,W",,,,,,,,,"  210",",,W","  220",",,W","   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-27","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  328",",,W","  233",",,W","   46",",,W",,,,,,,,,"  190",",,W","  210",",,W","   89",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-28","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  333",",,W","  228",",,W","   47",",,W",,,,,,,,,"  210",",,W","  240",",,W","   94",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-29","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   18",",,W",,,,,"  289",",,W","  206",",,W","   25",",,W",,,,,,,,,"  270",",,W","  270",",,W","   81",",,W","  116",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-30","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  278",",,W","  172",",,W","   25",",,W",,,,,,,,,"   50",",,W","   50",",,W","   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-31","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0","T,,W",,,,,"  317",",,W","  167",",,W","   27",",,W",,,,,,,,,"  140",",,W","  140",",,W","   98",",,W","  125",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-09-01","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  311",",,W","  200",",,W","   34",",,W",,,,,,,,,"  180",",,W","  220",",,W","   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-02","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    8",",,W",,,,,"  322",",,W","  206",",,W","   20",",,W",,,,,,,,,"  180",",,W","  210",",,W","   67",",,W","   81",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-09-03","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  339",",,W","  211",",,W","   20",",,W",,,,,,,,,"  190",",,W","  190",",,W","   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-04","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  333",",,W","  206",",,W","   21",",,W",,,,,,,,,"  190",",,W","  190",",,W","   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-05","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  339",",,W","  206",",,W","   19",",,W",,,,,,,,,"  200",",,W","  200",",,W","   63",",,W","   76",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-09-06","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    3",",,W",,,,,"  322",",,W","  200",",,W","   15",",,W",,,,,,,,,"   20",",,W","  360",",,W","   76",",,W","   98",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-09-07","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  185",",,W",,,,,"  256",",,W","  200",",,W","   34",",,W",,,,,,,,,"   50",",,W","   50",",,W","   72",",,W","   89",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-08","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  516",",,W",,,,,"  206",",,W","  161",",,W","   67",",,W",,,,,,,,,"   70",",,W","   70",",,W","  125",",,W","  170",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-09","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   23",",,W",,,,,"  167",",,W","  150",",,W","   45",",,W",,,,,,,,,"   30",",,W","   20",",,W","   67",",,W","  103",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-10","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0","T,,W",,,,,"  261",",,W","  139",",,W","   24",",,W",,,,,,,,,"  330",",,W","   10",",,W","   58",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-11","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  256",",,W","  122",",,W","   13",",,W",,,,,,,,,"   80",",,W","   60",",,W","   45",",,W","   63",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-09-12","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  256",",,W","  117",",,W","   14",",,W",,,,,,,,,"   80",",,W","   40",",,W","   54",",,W","   89",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-09-13","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  294",",,W","  150",",,W","   10",",,W",,,,,,,,,"  100",",,W","   40",",,W","   31",",,W","   45",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-14","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  317",",,W","  156",",,W","   13",",,W",,,,,,,,,"   50",",,W","   20",",,W","   45",",,W","   58",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-15","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  317",",,W","  161",",,W","   26",",,W",,,,,,,,,"   10",",,W","   20",",,W","   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-16","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  306",",,W","  183",",,W","   21",",,W",,,,,,,,,"   80",",,W","   80",",,W","   67",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00003868","2018-09-17","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  328",",,W","  189",",,W","   13",",,W",,,,,,,,,"  330",",,W","  330",",,W","   54",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-09-18","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  339",",,W","  172",",,W","   11",",,W",,,,,,,,,"  230",",,W","  210",",,W","   40",",,W","   63",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,
"USW00003868","2018-09-19","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0","T,,W",,,,,"  339",",,W","  194",",,W","   10",",,W",,,,,,,,,"  260",",,W","  250",",,W","   63",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
