"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00094239","2018-08-22","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  317",",,W","  150",",,W","   35",",,W",,,,,,,,,,,"  300",",,W","  300",",,W","   72",",,W","   81",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-23","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  311",",,W","  183",",,W","   57",",,W",,,,,,,,,,,"  290",",,W","  280",",,W","  125",",,W","  152",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-24","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  256",",,W","  156",",,W","   57",",,W",,,,,,,,,,,"  300",",,W","  300",",,W","  116",",,W","  139",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-25","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0","T,,W,2400",,,,,"  222",",,W","  128",",,W","   46",",,W",,,,,,,,,,,"  310",",,W","  300",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-26","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  222",",,W","  128",",,W","   54",",,W",,,,,,,,,,,"  310",",,W","  310",",,W","  103",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-27","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  261",",,W","  128",",,W","   36",",,W",,,,,,,,,,,"   70",",,W","   60",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-28","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  283",",,W","  128",",,W","   35",",,W",,,,,,,,,,,"  110",",,W","  120",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-29","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  306",",,W","  117",",,W","   28",",,W",,,,,,,,,,,"  250",",,W","  250",",,W","   94",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-30","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  267",",,W","  161",",,W","   68",",,W",,,,,,,,,,,"  310",",,W","  290",",,W","  139",",,W","  170",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-08-31","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  267",",,W","  122",",,W","   48",",,W",,,,,,,,,,,"  300",",,W","  310",",,W","  107",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-09-01","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  261",",,W","  144",",,W","   48",",,W",,,,,,,,,,,"  310",",,W","  290",",,W","  112",",,W","  130",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-09-02","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  278",",,W","  122",",,W","   41",",,W",,,,,,,,,,,"  300",",,W","  300",",,W","  107",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-09-03","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  272",",,W","  150",",,W","   41",",,W",,,,,,,,,,,"  290",",,W","  290",",,W","  103",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-09-04","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  261",",,W","  117",",,W","   24",",,W",,,,,,,,,,,"  290",",,W","  290",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094239","2018-09-05","47.3977","-120.2013","374.6","WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US","    0",",,W,2400",,,,,"  283",",,W","  111",",,W","   21",",,W",,,,,,,,,,,"  280",",,W","  290",",,W","   54",",,W","   58",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
