"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"RQC00665908","2018-08-08","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  283",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-08-09","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   30",",,7",,,,,"  267",",,7","  189",",,7",,,,,"  200",",,7",,,,,,,,
"RQC00665908","2018-08-10","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    8",",,7",,,,,"  272",",,7","  183",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-08-11","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  289",",,7","  206",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-12","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  278",",,7","  200",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-13","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  289",",,7","  189",",,7","    3",",,7","  104",",,7","  222",",,7",,,,,,,,
"RQC00665908","2018-08-14","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-15","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  234",",,7",,,,,"  272",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-08-16","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  762",",,7",,,,,"  250",",,7","  183",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-08-17","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  168",",,7",,,,,"  256",",,7","  194",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-08-18","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-19","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  250",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-20","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  189",",,7","    3",",,7","  681",",,7","  228",",,7",,,,,,,,
"RQC00665908","2018-08-21","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  200",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-22","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  194",",,7","    2",",,7","   66",",,7","  222",",,7",,,,,,,,
"RQC00665908","2018-08-23","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  200",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-24","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  278",",,7","  194",",,7","    2",",,7","   46",",,7","  228",",,7",,,,,,,,
"RQC00665908","2018-08-25","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  724",",,7",,,,,"  250",",,7","  183",",,7",,,,,"  200",",,7",,,,,,,,
"RQC00665908","2018-08-26","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   13",",,7",,,,,"  272",",,7","  194",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-08-27","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   38",",,7",,,,,"  261",",,7","  194",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-08-28","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   81",",,7",,,,,"  256",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-08-29","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   30",",,7",,,,,"  278",",,7","  206",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-08-30","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   13",",,7",,,,,"  267",",,7","  200",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-08-31","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  216",",,7",,,,,"  267",",,7","  178",",,7",,,,,"  256",",,7",,,,,,,,
"RQC00665908","2018-09-01","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-02","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-03","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  172",",,7","    3",",,7","  577",",,7","  200",",,7",,,,,,,,
"RQC00665908","2018-09-04","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   30",",,7",,,,,"  250",",,7","  183",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-09-05","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   23",",,7",,,,,"  233",",,7","  183",",,7",,,,,"  211",",,7",,,,,,,,
"RQC00665908","2018-09-06","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    5",",,7",,,,,"  267",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-09-07","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  612",",,7",,,,,"  256",",,7","  178",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-09-08","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   64",",,7",,,,,"  250",",,7","  183",",,7",,,,,"  233",",,7",,,,,,,,
"RQC00665908","2018-09-09","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  244",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-10","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  250",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-11","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  183",",,7","    3",",,7","  914",",,7","  239",",,7",,,,,,,,
"RQC00665908","2018-09-13","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  189",",,7","    2",",,7","  112",",,7","  239",",,7",,,,,,,,
"RQC00665908","2018-09-14","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  112",",,7",,,,,"  256",",,7","  189",",,7",,,,,"  239",",,7",,,,,,,,
"RQC00665908","2018-09-15","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  206",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-16","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  244",",,7","  167",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-17","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  167",",,7","    3",",,7","  229",",,7","  233",",,7",,,,,,,,
"RQC00665908","2018-09-18","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  267",",,7","  172",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-09-19","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  172",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-20","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  167",",,7","    2",",,7","   81",",,7","  206",",,7",,,,,,,,
"RQC00665908","2018-09-21","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    5",",,7",,,,,"  261",",,7","  206",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-09-22","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-23","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  183",",,7","    2",",,7","  284",",,7","  217",",,7",,,,,,,,
"RQC00665908","2018-09-24","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   15",",,7",,,,,"  267",",,7","  183",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-09-25","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   58",",,7",,,,,"  267",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-09-26","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   64",",,7",,,,,"  256",",,7","  189",",,7",,,,,"  211",",,7",,,,,,,,
"RQC00665908","2018-09-27","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-28","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  194",",,7","    2",",,7","  112",",,7","  233",",,7",,,,,,,,
"RQC00665908","2018-09-29","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-09-30","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-10-01","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  508",",,7",,,,,"  267",",,7","  183",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-10-02","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  254",",,7",,,,,"  261",",,7","  194",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-10-03","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  376",",,7",,,,,"  256",",,7","  183",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-10-04","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  381",",,7",,,,,"  283",",,7","  183",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-10-05","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    5",",,7",,,,,"  278",",,7","  194",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-10-06","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   10",",,7",,,,,"  261",",,7","  200",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-10-07","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  200",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-10-08","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  244",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-10-09","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  183",",,7","    3",",,7","   74",",,7","  217",",,7",,,,,,,,
"RQC00665908","2018-10-10","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   76",",,7",,,,,"  267",",,7","  194",",,7",,,,,"  211",",,7",,,,,,,,
"RQC00665908","2018-10-11","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   38",",,7",,,,,"  250",",,7","  183",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-10-12","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  249",",,7",,,,,"  261",",,7","  178",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-10-13","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  178",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-10-14","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  222",",,7","  172",",,7",,,,,,,,,,,,,,
