"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00150397","2018-08-07","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   15",",,7,1800",,,,,"  311",",,7","  206",",,7",,,,,,,,,"  239",",,7,1800",,,"  283",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-08","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  427",",,7,1800",,,,,"  278",",,7","  206",",,7",,,,,,,,,"  261",",,7,1800",,,"  272",",,7",,,"  278",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-09","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    8",",,7,1800",,,,,"  294",",,7","  194",",,7",,,,,,,,,"  228",",,7,1800",,,"  267",",,7",,,"  294",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-10","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  283",",,7","  194",",,7",,,,,,,,,"  278",",,7,1800",,,"  267",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-11","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  132",",,7,1800",,,,,"  289",",,7","  189",",,7",,,,,,,,,"  239",",,7,1800",,,"  267",",,7",,,"  289",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-12","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    5",",,7,1800",,,,,"  294",",,7","  178",",,7",,,,,,,,,"  278",",,7,1800",,,"  261",",,7",,,"  300",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00150397","2018-08-13","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  300",",,7","  167",",,7",,,,,,,,,"  289",",,7,1800",,,"  267",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-14","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  306",",,7","  172",",,7",,,,,,,,,"  283",",,7,1800",,,"  267",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-15","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   51",",,7,1800",,,,,"  294",",,7","  206",",,7",,,,,,,,,"  233",",,7,1800",,,"  278",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-16","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  198",",,7,1800",,,,,"  278",",,7","  200",",,7",,,,,,,,,"  278",",,7,1800",,,"  261",",,7",,,"  283",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-17","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   46",",,7,1800",,,,,"  289",",,7","  217",",,7",,,,,,,,,"  239",",,7,1800",,,"  261",",,7",,,"  278",",,7",,,"    1",",,7",,,,,,,,,,,,,,
"USC00150397","2018-08-18","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   79",",,7,1800",,,,,"  267",",,7","  217",",,7",,,,,,,,,"  267",",,7,1800",,,"  256",",,7",,,"  278",",,7",,,"    1",",,7",,,,,,,,,,,,,,
"USC00150397","2018-08-19","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    3",",,7,1800",,,,,"  300",",,7","  183",",,7",,,,,,,,,"  267",",,7,1800",,,"  261",",,7",,,"  300",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00150397","2018-08-20","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    5",",,7,1800",,,,,"  294",",,7","  211",",,7",,,,,,,,,"  289",",,7,1800",,,"  278",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-21","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  147",",,7,1800",,,,,"  289",",,7","  206",",,7",,,,,,,,,"  250",",,7,1800",,,"  272",",,7",,,"  294",",,7",,,"    1",",,7",,,,,,,,,,,,,,
"USC00150397","2018-08-22","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   51",",,7,1800",,,,,"  256",",,7","  183",",,7",,,,,,,,,"  217",",,7,1800",,,"  256",",,7",,,"  272",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-23","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  261",",,7","  117",",,7",,,,,,,,,"  222",",,7,1800",,,"  239",",,7",,,"  283",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-24","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  256",",,7","  128",",,7",,,,,,,,,"  200",",,7,1800",,,"  244",",,7",,,"  294",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-25","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  289",",,7","  194",",,7",,,,,,,,,"  267",",,7,1800",,,"  250",",,7",,,"  267",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-26","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  317",",,7","  211",",,7",,,,,,,,,"  306",",,7,1800",,,"  261",",,7",,,"  294",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-27","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  311",",,7","  217",",,7",,,,,,,,,"  306",",,7,1800",,,"  272",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-28","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  322",",,7","  211",",,7",,,,,,,,,"  317",",,7,1800",,,"  278",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-29","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   13",",,7,1800",,,,,"  317",",,7","  222",",,7",,,,,,,,,"  256",",,7,1800",,,"  283",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-30","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  104",",,7,1800",,,,,"  300",",,7","  194",",,7",,,,,,,,,"  278",",,7,1800",,,"  278",",,7",,,"  306",",,7",,,"    1",",,7",,,,,,,,,,,,,,
"USC00150397","2018-08-31","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  130",",,7,1800",,,,,"  311",",,7","  200",",,7",,,,,,,,,"  217",",,7,1800",,,"  278",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-09-01","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   15",",,7,1800",,,,,"  294",",,7","  206",",,7",,,,,,,,,"  294",",,7,1800",,,"  272",",,7",,,"  294",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-09-02","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  322",",,7","  200",",,7",,,,,,,,,"  306",",,7,1800",,,"  272",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-09-03","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  322",",,7","  211",",,7",,,,,,,,,"  317",",,7,1800",,,"  283",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-09-04","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  333",",,7","  217",",,7",,,,,,,,,"  289",",,7,1800",,,"  283",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,
