"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00066124","2018-08-03","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  182",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-04","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    4",",,a","  188",",,a","   84",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-05","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  215",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-06","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    8",",,a","  192",",,a","   70",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-07","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  172",",,a","  103",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-08","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  196",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-09","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  203",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-10","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  233",",,a","   30",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-11","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  256",",,a","  103",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-12","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  168",",,a","   74",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-13","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  197",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-14","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  232",",,a","   57",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-15","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  255",",,a","   74",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-16","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  216",",,a","  113",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-17","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  190",",,a","   53",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-18","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  227",",,a","   75",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-19","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  168",",,a","   90",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-20","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  170",",,a","   62",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-21","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  173",",,a","   52",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-22","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","   58",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-23","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  177",",,a","   52",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-24","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   32",",,a","  180",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-25","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  182",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-26","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   10",",,a","  168",",,a","   78",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-27","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   22",",,a","  135",",,a","  102",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-28","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  155",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-29","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  172",",,a","   60",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-30","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  178",",,a","   10",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-31","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  187",",,a","   52",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-01","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   12",",,a","  220",",,a","  100",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-02","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  168",",,a","   63",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-03","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   12",",,a","  150",",,a","   68",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-04","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   50",",,a","  186",",,a","   73",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-05","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  173",",,a","   55",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-06","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   12",",,a","  210",",,a","   62",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-07","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   16",",,a","  240",",,a","  118",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-08","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   72",",,a","  167",",,a","  112",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-09","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    6",",,a","  232",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-10","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  218",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-11","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  240",",,a","   90",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-12","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  305",",,a","  100",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-13","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  212",",,a","  105",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-14","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  290",",,a","  120",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-15","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  320",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-16","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  173",",,a","   86",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-17","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  190",",,a","   40",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-18","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  220",",,a","   48",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-19","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  290",",,a","   95",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-20","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    4",",,a","  172",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-21","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  222",",,a","   45",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-22","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  258",",,a","   64",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-23","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  213",",,a","   97",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-24","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   10",",,a","  152",",,a","  108",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-25","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  183",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-26","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   80",",,a","  172",",,a","   92",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-27","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   30",",,a","  226",",,a","   65",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-28","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  303",",,a","   70",",,a",,,,,,,,,,,,,,
